Zip_code;Zip_name;Municipality_name;Municipality_code;NUTS3_name;NUTS3_code
35740;Ylä-Vääri;Ruovesi;702;Pirkanmaa;6
35750;Väärinmaja;Ruovesi;702;Pirkanmaa;6
35800;Mänttä;Mänttä-Vilppula;508;Pirkanmaa;6
35820;Asemakulma-Mustalahti;Jämsä;182;Keski-Suomi;13
35990;Kolho;Mänttä-Vilppula;508;Pirkanmaa;6
36100;Kangasala Asemanseutu;Kangasala;211;Pirkanmaa;6
36110;Ruutana;Kangasala;211;Pirkanmaa;6
36120;Suinula-Haviseva;Kangasala;211;Pirkanmaa;6
36200;Kangasala Keskus;Kangasala;211;Pirkanmaa;6
36220;Suorama;Kangasala;211;Pirkanmaa;6
36240;Nattari;Kangasala;211;Pirkanmaa;6
36270;Huutijärvi;Kangasala;211;Pirkanmaa;6
36280;Pikonlinna;Kangasala;211;Pirkanmaa;6
36340;Tohkala;Kangasala;211;Pirkanmaa;6
36420;Sahalahti Keskus;Kangasala;211;Pirkanmaa;6
36430;Pakkala;Kangasala;211;Pirkanmaa;6
36450;Salmentaka;Pälkäne;635;Pirkanmaa;6
36520;Raikku;Kangasala;211;Pirkanmaa;6
36570;Kaivanto;Kangasala;211;Pirkanmaa;6
36600;Pälkäne Keskus;Pälkäne;635;Pirkanmaa;6
36640;Iltasmäki;Pälkäne;635;Pirkanmaa;6
36660;Laitikkala;Pälkäne;635;Pirkanmaa;6
36720;Aitoo;Pälkäne;635;Pirkanmaa;6
36760;Luopioinen Keskus;Pälkäne;635;Pirkanmaa;6
36810;Kuhmalahti Keskus;Kangasala;211;Pirkanmaa;6
36840;Kuhmajärvi;Kangasala;211;Pirkanmaa;6
36880;Vehkajärvi;Kangasala;211;Pirkanmaa;6
36910;Rautajärvi;Pälkäne;635;Pirkanmaa;6
36930;Kyynärö;Pälkäne;635;Pirkanmaa;6
37100;Nokia Keskus;Nokia;536;Pirkanmaa;6
37120;Koskenmäki;Nokia;536;Pirkanmaa;6
37130;Alhoniitty;Nokia;536;Pirkanmaa;6
37140;Harjuniitty;Nokia;536;Pirkanmaa;6
37150;Kankaantaka;Nokia;536;Pirkanmaa;6
37180;Sarkola;Nokia;536;Pirkanmaa;6
37200;Siuro;Nokia;536;Pirkanmaa;6
37210;Kulovesi;Nokia;536;Pirkanmaa;6
37240;Linnavuori;Nokia;536;Pirkanmaa;6
37310;Tottijärvi;Nokia;536;Pirkanmaa;6
37350;Rämsöö;Vesilahti;922;Pirkanmaa;6
37370;Narva;Vesilahti;922;Pirkanmaa;6
37380;Krääkkiö;Vesilahti;922;Pirkanmaa;6
37420;Valkkinen;Vesilahti;922;Pirkanmaa;6
37470;Vesilahti Keskus;Vesilahti;922;Pirkanmaa;6
37500;Lempäälä Keskus;Lempäälä;418;Pirkanmaa;6
37530;Säijä;Lempäälä;418;Pirkanmaa;6
37550;Kuivaspää;Lempäälä;418;Pirkanmaa;6
37560;Kulju;Lempäälä;418;Pirkanmaa;6
37570;Koivuniemi;Lempäälä;418;Pirkanmaa;6
